latency,avg_memory,max_memory,macs,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.linear.Linear'>_macs,total_nn_calls,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.linear.Linear'>_calls,total_params,trainable_params,model,batch_size,input_size,accelerator,requires_grad,use_torchscript,use_dquant,dropout,act_fn,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
0.0019419200718402,4247519232.0,4247519232.0,1824033792.0,1813561344.0,9934848.0,0.0,0.0,25600.0,512000.0,52.0,20.0,20.0,9.0,1.0,1.0,1.0,11689512.0,0.0,resnet18,1.0,224.0,1.0,0.0,0.0,0.0,,relu,,,,,,,,,,,,
0.0026912454515695,4295753728.0,4295753728.0,5359432192.0,5329649664.0,29196288.0,0.0,0.0,74240.0,512000.0,52.0,20.0,20.0,9.0,1.0,1.0,1.0,11689512.0,0.0,resnet18,1.0,384.0,1.0,0.0,0.0,0.0,,relu,,,,,,,,,,,,
0.0020357497036457,4295753728.0,4295753728.0,9527480832.0,9474932736.0,51904512.0,0.0,0.0,131584.0,512000.0,52.0,20.0,20.0,9.0,1.0,1.0,1.0,11689512.0,0.0,resnet18,1.0,512.0,1.0,0.0,0.0,0.0,,relu,,,,,,,,,,,,
0.0020522758364677,4295753728.0,4295753728.0,3648067584.0,3627122688.0,19869696.0,0.0,0.0,51200.0,1024000.0,52.0,20.0,20.0,9.0,1.0,1.0,1.0,11689512.0,0.0,resnet18,2.0,224.0,1.0,0.0,0.0,0.0,,relu,,,,,,,,,,,,
0.0020080175250768,4314628096.0,4314628096.0,10718864384.0,10659299328.0,58392576.0,0.0,0.0,148480.0,1024000.0,52.0,20.0,20.0,9.0,1.0,1.0,1.0,11689512.0,0.0,resnet18,2.0,384.0,1.0,0.0,0.0,0.0,,relu,,,,,,,,,,,,
0.0020434316247701,4381736960.0,4381736960.0,19054961664.0,18949865472.0,103809024.0,0.0,0.0,263168.0,1024000.0,52.0,20.0,20.0,9.0,1.0,1.0,1.0,11689512.0,0.0,resnet18,2.0,512.0,1.0,0.0,0.0,0.0,,relu,,,,,,,,,,,,
0.0020623911172151,4381736960.0,4381736960.0,7296135168.0,7254245376.0,39739392.0,0.0,0.0,102400.0,2048000.0,52.0,20.0,20.0,9.0,1.0,1.0,1.0,11689512.0,0.0,resnet18,4.0,224.0,1.0,0.0,0.0,0.0,,relu,,,,,,,,,,,,
0.002026779577136,4457234432.0,4457234432.0,21437728768.0,21318598656.0,116785152.0,0.0,0.0,296960.0,2048000.0,52.0,20.0,20.0,9.0,1.0,1.0,1.0,11689512.0,0.0,resnet18,4.0,384.0,1.0,0.0,0.0,0.0,,relu,,,,,,,,,,,,
0.0027432173490524,4591452160.0,4591452160.0,38109923328.0,37899730944.0,207618048.0,0.0,0.0,526336.0,2048000.0,52.0,20.0,20.0,9.0,1.0,1.0,1.0,11689512.0,0.0,resnet18,4.0,512.0,1.0,0.0,0.0,0.0,,relu,,,,,,,,,,,,
0.0021747551858425,4591452160.0,4591452160.0,14592270336.0,14508490752.0,79478784.0,0.0,0.0,204800.0,4096000.0,52.0,20.0,20.0,9.0,1.0,1.0,1.0,11689512.0,0.0,resnet18,8.0,224.0,1.0,0.0,0.0,0.0,,relu,,,,,,,,,,,,
