<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs
17.0,0.0,53.0,44455936.0,53.0,4087136256.0,1.0,2048000.0,1.0,102400.0,1.0,0.0,1345060864.0,1.0,224.0,0.0055030450923368324,4133742592.0,1345060864.0,resnet50,126.0,25557032.0,0.0,,,,
17.0,0.0,53.0,88911872.0,53.0,8174272512.0,1.0,4096000.0,1.0,204800.0,1.0,0.0,1452015616.0,2.0,224.0,0.006313780788332224,8267485184.0,1452015616.0,resnet50,126.0,25557032.0,0.0,,,,
17.0,0.0,53.0,177823744.0,53.0,16348545024.0,1.0,8192000.0,1.0,409600.0,1.0,0.0,1452015616.0,4.0,224.0,0.0060711783124133955,16534970368.0,1452015616.0,resnet50,126.0,25557032.0,0.0,,,,
17.0,0.0,53.0,355647488.0,53.0,32697090048.0,1.0,16384000.0,1.0,819200.0,1.0,0.0,1554776064.0,8.0,224.0,0.0088313234038651,33069940736.0,1554776064.0,resnet50,126.0,25557032.0,0.0,,,,
17.0,0.0,53.0,711294976.0,53.0,65394180096.0,1.0,32768000.0,1.0,1638400.0,1.0,0.0,1728839680.0,16.0,224.0,0.015070653101429344,66139881472.0,1728839680.0,resnet50,126.0,25557032.0,0.0,,,,
17.0,0.0,53.0,1422589952.0,53.0,130788360192.0,1.0,65536000.0,1.0,3276800.0,1.0,0.0,2037121024.0,32.0,224.0,0.028205581684596838,132279762944.0,2037121024.0,resnet50,126.0,25557032.0,0.0,,,,
17.0,0.0,53.0,2845179904.0,53.0,261576720384.0,1.0,131072000.0,1.0,6553600.0,1.0,0.0,2653683712.0,64.0,224.0,0.05398997119627893,264559525888.0,2653683712.0,resnet50,126.0,25557032.0,0.0,,,,
17.0,0.0,53.0,5690359808.0,53.0,523153440768.0,1.0,262144000.0,1.0,13107200.0,1.0,0.0,3888906240.0,128.0,224.0,0.10435235840268434,529119051776.0,3888906240.0,resnet50,126.0,25557032.0,0.0,,,,
17.0,0.0,53.0,11380719616.0,53.0,1046306881536.0,1.0,524288000.0,1.0,26214400.0,1.0,0.0,6355156992.0,256.0,224.0,0.2032333720009774,1058238103552.0,6355156992.0,resnet50,126.0,25557032.0,0.0,,,,
,,,,,,73.0,10872225792.0,,,,,1410072576.0,1.0,128.0,0.008559408993460239,10882056192.0,1410072576.0,bert,135.0,109482240.0,0.0,37.0,0.0,25.0,9830400.0
,,,,,,73.0,21744451584.0,,,,,1884028928.0,2.0,128.0,0.010474761109799146,21764112384.0,1884028928.0,bert,135.0,109482240.0,0.0,37.0,0.0,25.0,19660800.0
,,,,,,73.0,43488903168.0,,,,,1884028928.0,4.0,128.0,0.01036687260493636,43528224768.0,1884028928.0,bert,135.0,109482240.0,0.0,37.0,0.0,25.0,39321600.0
,,,,,,73.0,86977806336.0,,,,,1884028928.0,8.0,128.0,0.018712679506279528,87056449536.0,1884028928.0,bert,135.0,109482240.0,0.0,37.0,0.0,25.0,78643200.0
,,,,,,73.0,173955612672.0,,,,,1884028928.0,16.0,128.0,0.03387925161514431,174112899072.0,1884028928.0,bert,135.0,109482240.0,0.0,37.0,0.0,25.0,157286400.0
,,,,,,73.0,347911225344.0,,,,,2311847936.0,32.0,128.0,0.06574605659116059,348225798144.0,2311847936.0,bert,135.0,109482240.0,0.0,37.0,0.0,25.0,314572800.0
,,,,,,73.0,695822450688.0,,,,,2639003648.0,64.0,128.0,0.1280509859090671,696451596288.0,2639003648.0,bert,135.0,109482240.0,0.0,37.0,0.0,25.0,629145600.0
,,,,,,73.0,1391644901376.0,,,,,3142320128.0,128.0,128.0,0.24307695038150995,1392903192576.0,3142320128.0,bert,135.0,109482240.0,0.0,37.0,0.0,25.0,1258291200.0
,,,,,,73.0,2783289802752.0,,,,,4350279680.0,256.0,128.0,0.48516305959783496,2785806385152.0,4350279680.0,bert,135.0,109482240.0,0.0,37.0,0.0,25.0,2516582400.0
